county,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15
Kericho,233615,14.8,0.8,4.5,8.6,6.2,4.3,7.2,0.4,46.8,4.7,2.3,46.2,53.2,0
Bomet,219222,2.1,5.8,1.6,3.8,1.8,0.6,37.4,0.5,53.6,1.8,1.9,42.6,46.4,0
Kakamega,484205,11.4,0.7,14.3,7.2,6.6,52.8,1.3,0.4,94.7,4.5,0.3,0,4.8,0.6
Vihiga,160520,4.8,0.1,2.2,4.8,4.2,60.4,7.4,0.1,84.1,8.2,0.3,7.4,15.9,0
Bungoma,470168,16,0.1,8.6,12.1,12.8,19.7,0.4,0.2,69.8,18.6,3.8,7.8,30.2,0
Busia,216855,2.6,3.9,10,33.7,21.7,5.9,1.7,2.1,81.6,5.3,1.5,11.3,18.1,0.3
Siaya,247647,11.6,4.6,4.7,8.4,7.1,2.1,35,0.2,73.7,0.1,1.4,24.9,26.3,0
Kisumu,338619,41.8,1.5,5.4,3.9,17.8,0.5,13.8,0,84.8,0,2.7,12.3,15,0.2
Homa Bay,270043,6.4,6.6,2.6,9.5,4.2,12,20.8,0.6,62.8,3.2,0.3,33.7,37.2,0.1
Migori,267547,3.6,1,1.7,6.2,6.8,2.8,30.5,1.2,53.7,7.6,3.7,35,46.3,0
Kisii,371985,2.3,1.8,0.9,1.5,3.6,44.6,8.5,1,64.2,2.2,0,32.7,34.9,0.9
Nyamira,183594,0.8,0,0.1,2.3,0.7,54.8,15.9,0.7,75.4,3.8,0,20.8,24.6,0
Nairobi,1661533,55.5,8.9,5.6,9,0.3,0,0.4,19.7,99.4,0.2,0,0,0.2,0.4
